date,category,title,content,reaction
2023-08-16 01:02:00,세계,CMK 아세안 스쿨 학생들과 인도네시아국립대생들,"  현대차 정몽구재단이 주최하고, 고려대 아세아문제연구원 아세안센터가 주관하는 '제1기 CMK 아세안 스쿨'에 참가한 학생들이 15일(현지시간) 자카르타에 있는 인도네시아국립대를 방문해 현지 학생들과 함께 기념사진을 찍고 있다.  ","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
2023-08-16 01:03:00,세계,아세안 사무국 찾은 CMK 아세안 스쿨 학생들,"  현대차 정몽구재단이 주최하고, 고려대 아세아문제연구원 아세안센터가 주관하는 '제1기 CMK 아세안 스쿨'에 참가한 학생들이 15일(현지시간) 자카르타에 있는 아세안 사무국을 찾아 관계자로부터 설명을 듣고 있다.  ","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
2023-08-16 01:03:00,세계,아세안에 관한 설명 듣는 CMK 아세안 스쿨 학생들,"  현대차 정몽구재단이 주최하고, 고려대 아세아문제연구원 아세안센터가 주관하는 '제1기 CMK 아세안 스쿨'에 참가한 학생들이 15일(현지시간) 자카르타에 있는 아세안 사무국을 찾아 관계자로부터 설명을 듣고 있다.  ","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
2023-08-16 02:43:00,세계,"중미 도미니카공화국서 폭발·건물 붕괴…""21명 사망·실종""","중상 포함 부상자 60명 육박…대통령 ""끔찍한 재난, 빌딩 13채에 영향""   중미 카리브해 섬나라 도미니카공화국의 상업 지구에서 발생한 대형 폭발로 최소 21명이 숨지거나 실종됐다. 루이스 아비나데르 도미니카공화국 대통령은 15일(현지시간) 수도 산토도밍고 인근 도시인 산크리스토발의 후안파블로피나 병원에서 기자회견을 열어 ""어제 기록된 폭발로 지금까지 10명의 사망자와 11명의 실종자가 발생했다""며 ""끔찍한 재난""이라고 말했다. 사망자 중에는 젖먹이도 있다고 정부는 확인했다. 앞서 전날 오후 3시 30분께 산크리스토발 중심부에서는 대형 폭발이 일어나, 건물 4채가 거의 파괴되고 9채가 손상됐다. 현장 주변은 마치 폭격을 맞은 것처럼 건물 잔해가 어지럽게 쌓이고, 한때 곳곳에서 화염까지 치솟았다고 현지 매체인 디아리오리브레는 보도했다. 쇼핑센터가 밀집한 지역이어서 폭발 당시 많은 사람이 현장에 있었다고 이 매체는 덧붙였다. TV 채널인 'RTVD'는 소방 자료를 인용, 한 빵집에서 폭발과 함께 목격된 불길이 주변 철물점과 가구점 등지로 번졌다고 전했다. 정확한 폭발 원인 등 경위는 조사 중이다. 아비나데르 대통령은 ""우선 실종자 수색과 부상자 치료가 우선""이라고 강조했다. 도미니카공화국 보건당국은 ""호흡기에 영향을 미칠 수 있는 매캐한 연기가 사고 현장에서 이어지고 있다""며, 인근 주민에게 외출을 자제할 것과 바깥 활동 시 마스크를 쓰라고 당부했다. 도미니카공화국 도미니카공화국은 히스파니올라(이스파뇰라)섬에 있는 나라로 중남미 최빈국 아이티와 국경을 맞대고 있다. 국토 면적은 약 4만8천㎢, 한반도의 ¼ 정도다. 인구는 1천100만명가량이며 대부분 수도 산토도밍고에 밀집해 있다. 정부 형태는 대통령중심제로, 대통령 임기는 4년이다. 의회는 상원 32석·하원 190석으로 구성된 양원제를 택하고 있다. 쿠바와 자메이카 등 카리브해 다른 나라보다 탄탄한 경제력을 유지하고 있다.주 수출품은 사탕수수, 커피, 바나나 등 농산물이다. 최근엔 천혜의 자연환경을 바탕으로 관광, 골프 등 서비스업을 육성하고 있다. 한국과는 1962년 6월 수교했다. ","{'쏠쏠정보': 1, '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
2023-08-16 02:49:00,세계,"美, 학자금 대출 탕감 착수…바이든 ""가능한 많은 인원 구제""","대규모 학자금 대출 탕감 제동 걸리자 80만명 대상 후속책 시행   미국 바이든 정부가 80만명을 대상으로 대학 학자금 대출 탕감에 들어갔다. 지난해 11월 중간선거를 앞두고 발표한 대규모 학자금 대출 탕감 정책이 연방 대법원의 제동으로 시행이 불가능해지자 규모를 줄인 후속 대책을 집행하면서 '공약 이행'에 나선 것이다. 미국 ABC 뉴스는 전날부터 연방 학자금 대출을 받은 미국 국민이 대출 기관으로부터 '귀하의 학자금 대출은 탕감됐습니다'라는 이메일을 받기 시작했다고 15일(현지시간) 보도했다. 이번 학자금 대출 탕감의 대상이 되는 80만명 정도가 수주 내에 '대출 탕감' 안내를 받을 것으로 예상된다. 이 가운데 61만4천명은 남은 대출 전액을 탕감받을 것으로 전망되며, 나머지 대상자들은 일부 대출에 대해서만 조치가 적용될 것으로 보인다. 이번 조치는 바이든 정부가 지난달 발표한 학자금 대출 탕감 대책에 따른 것이다. 이른바 '소득 중심 상환(IDR)' 계획에 참여한 미국 국민을 대상으로 한 이 대책은 상환 계획에 따라 20년 또는 25년간 대출을 갚으면 남은 대출에 대해서는 연방 정부가 탕감해주는 것이 골자다. 애초 IDR 자체가 이런 취지의 프로그램이지만, 시스템 오류로 일부 학자금 대출자의 경우 상환 기한 이후에도 계속 대출을 갚는 문제가 발생했다고 교육부 등은 설명했다. 조 바이든 대통령은 성명에서 ""IDR에 따라 돈을 빌린 사람이 20년 또는 25년 상환하면 남은 대출 잔액을 탕감받을 수 있으나 제가 취임하기 이전부터 시작된 시스템 오류로 80만4천명이 넘는 사람이 IDR에 따른 대출 탕감을 받지 못했다""면서 ""이 잘못을 바로잡기로 결심했다""고 말했다. 그는 또 ""가능한 최대한 많은 사람에게 학자금 대출 구제를 할 수 있는 대안을 찾을 것""이라고 밝혔다. 앞서 바이든 대통령은 지난해 11월 중간선거를 앞두고 최대 4천300만명이 1인당 최고 2만달러까지 학자금 관련 대출을 탕감하는 내용의 정책을 발표했다. 그러나 연방 대법원은 지난 6월 이 정책에 대해 ""정부에 그럴 권한이 없다""면서 무효화했다. 바이든 정부는 이어 80만명 대상의 학자금 대출 탕감 관련 후속 대책을 발표했다. 이에 대해서도 보수 단체들이 '시행 중단'을 요구하면서 최근 소송을 제기했으나 소송 자격이 없다는 이유로 전날 기각됐다고 의회 전문매체 더힐 등이 보도했다. 바이든 대통령의 학자금 대출 탕감 공약과 이행은 2024년 대선을 앞두고 젊은 유권자의 표심을 겨냥한 것이다. 재대결이 유력한 도널드 트럼프 전 대통령과 초접전 대결이 진행될 것으로 보이면서, 민주당 성향이지만 상대적으로 지지세가 약한 젊은 유권자를 공략할 필요성이 높아진 상태다. ","{'쏠쏠정보': 3, '흥미진진': '0', '공감백배': 1, '분석탁월': '0', '후속강추': '0'}"
2023-08-16 03:08:00,세계,"(LEAD) Trilateral summit of S. Korea, U.S., Japan to strengthen global peace, stability: Blinken","(LEAD) Blinken-trilateral summit (LEAD) Trilateral summit of S. Korea, U.S., Japan to strengthen global peace, stability: Blinken (ATTN: UPDATES with additional remarks from Blinken in paras 11-15; ADDS photo) By Byun Duk-kun WASHINGTON, Aug. 15 (Yonhap) -- The upcoming trilateral summit between South Korea, Japan and the United States will help strengthen their joint efforts to promote peace and stability not only in the region but around the world, U.S. Secretary of State Antony Blinken said Tuesday. The top U.S. diplomat also noted that the countries will likely hold regular meetings down the road. ""This summit comes at a moment when our region and the world are being tested by geopolitical competition, by climate crisis, by Russia's war of aggression against Ukraine, by nuclear provocations,"" he told a press briefing. ""Our heightened engagement is part of our broader efforts to revitalize, to strengthen, to knit together our alliances and partnerships, and, in this case, to help realize a shared vision of an Indo-Pacific that is free and open, prosperous, secure, resilient and connected,"" added Blinken. The White House said earlier that President Joe Biden will host South Korean President Yoon Suk Yeol and Japanese Prime Minister Fumio Kishida at Camp David on Friday. Blinken noted the summit will be the first-ever ""standalone"" trilateral summit of the countries, while Yoon and Kishida will also be the first foreign leaders to visit the U.S. presidential retreat since 2015. ""Japan and South Korea are core allies, not just in the region but around the world,"" Blinken said. ""Strengthening our trilateral cooperation is critical to delivering for our people, for the region and for the world."" The trilateral summit will cover a wide range of issues, ""including security questions, including economic security questions, but also including things like coordination on development aid, on humanitarian assistance, on shaping the use of emerging technologies, greater people-to-people exchanges,"" the secretary said. To this end, the leaders are well expected to agree to holding regular three-way meetings in the future, according to Blinken. ""On the trilateral cooperation, I think what you can expect to see coming out of this summit is a collaboration on a trilateral basis that is further institutionalized in a variety of ways to include regular meetings that are at a variety of levels, at senior levels in our governments,"" he told the press briefing. When asked about possible deterioration of Seoul-Tokyo relations due to Japan's plan to release treated water from its destroyed Fukushima nuclear power plant, the U.S. secretary of state reaffirmed U.S. support for the Japanese plan. ""With regard to the release of water from Fukushima, we are satisfied with Japan's plans, which are safe and in accordance with international standards. including, critically, the IAEA nuclear safety standards,"" he said. On the proposed release of Iranian assets currently frozen in South Korean banks, the top U.S. diplomat insisted the money will only be used for humanitarian purposes under full U.S. visibility. ""Funds in question are not American funds. They are not American taxpayer money. They are Iranian funds that have been in South Korean banks for a number of years,"" he said when asked about the issue. ""This is a way of actually facilitating their use strictly for humanitarian purposes and in a strictly controlled way,"" he added. ""Iran will not have direct access to these funds. There will be significant oversight and visibility from the United States. Blinken also offered condolences to the South Korean president for the loss of his father on Tuesday (Korea time). ""I want to take this moment before saying anything else to extend the deepest condolences of the United States to President Yoon on the passing of his father. He was by all accounts a remarkable scholar and, among other things, a strong proponent of relations between the ROK and Japan,"" he said, referring to South Korea by its official name, the Republic of Korea.  (END)","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
2023-08-16 03:53:00,세계,"24시간 운행 샌프란시스코 무인택시, '움직이는 러브호텔' 우려","  미국 샌프란시스코에서 운전자 없는 무인 택시(로보택시)가 24시간 운행에 들어간 가운데 이 로보택시가 '움직이는 러브호텔'로 이용될 수 있다는 우려가 나온다. 현지 매체 샌프란시스코 스탠더드는 15일(현지시간) 로보택시에서 성관계를 가졌다는 이용자 4명과 인터뷰한 기사를 통해 이 같은 우려를 제기했다. GM의 자율주행차인 크루즈와 구글의 웨이모는 2022년부터 샌프란시스코에서 야간에만 로보택시를 운행해오다 지난 10일 24시간 운행 허가를 획득했다. 크루즈는 밤에는 300대, 낮에는 100대의 차량을 운행하고 웨이모는 250대를 운행 중이다. 이 매체는 로보택시에서 성관계가 이뤄지고 있지만, 어느 누구도 이에 대해서 얘기하지 않는다고 전했다. 알렉스라는 가명의 한 승객은 로보택시에서 성관계를 세 번 가졌다고 밝혔다. 그는 ""내가 선구자(trailblazer)인 것 같다""며 ""미국에서 이런 일을 할 수 있는 곳이라는 사실을 깨닫는 것도 재미있다""고 자랑했다. 메건이라는 또 다른 승객은 ""이상적이지는 않지만, 우리는 공공장소에 있었고 그것이 금지된 것이라는 금기 때문에 더 재미있고 흥미로웠다""고 말했다. 실제 이런 경험담은 수년 전 로보택시가 성관계 장소로 이용될 수 있다는 우려가 현실이 되고 있음을 보여준다. 2018년 '관광 연구 연감'(The Annals of Tourism Research)이라는 저널에 실린 한 보고서는 ""시간 단위로 이용되는 호텔이 자율주행 차량으로 대체될 가능성이 높다""고 관측하기도 했다. 2019년에는 자율주행 장치인 오토파일럿을 이용해 이동하는 테슬라에서 성관계를 갖는 한 커플의 영상이 퍼지기도 했다. 당시 일론 머스크 최고경영자(CEO)는 트위터에 ""우리가 상상했던 것보다 오토파일럿을 사용할 수 있는 방법이 더 많은 것으로 밝혀졌다""며 ""이렇게 될 줄 알았어야 했는데…""라고 말하기도 했다. 크루즈와 웨이모 차량에는 외부뿐만 아니라 내부에도 카메라와 마이크가 있다. 이런 기기는 승객 안전과 지원을 위해 사용되며 마이크의 경우 탑승자 지원 통화 중에만 활성화된다고 이들 기업은 설명했다. 그러나 무인택시 내 성관계는 이용 규정을 위반한 것일 수 있다고 이 매체는 전했다. 크루즈는 ""이용자가 서비스 이용을 위해서는 불법 행위나 부적절한 행동을 하지 않겠다는 규칙에 서명을 해야 한다""며 ""차량 내 성관계는 '부적절한 행동'이 될 수 있기 때문에 허용되지 않는다""고 말했다. ","{'쏠쏠정보': 5, '흥미진진': 1, '공감백배': 2, '분석탁월': 1, '후속강추': 8}"
2023-08-16 04:27:00,세계,"美, 北김정은 잇단 전쟁준비 강조에 ""美의 한국방위 약속 분명""","""北위협 대응 위해 韓日과 공조…美, 北에 대해 어떤 적대행위도 안해""   미국 국방부는 15일(현지시간) 북한 김정은 국무위원장의 거듭된 군수공장 방문 및 전쟁준비 강조에 ""한국과 일본에 대한 (미국의) 방위 약속은 분명하다""고 말했다. 사브리나 싱 국방부 부대변인은 이날 정례 브리핑에서 관련 질문에 ""우리는 북한의 위협에 대해 매우 분명한 입장을 취해 왔다""며 ""한국과 일본에 대한 우리의 방위 약속은 매우 분명하며, 역내 안전에 대한 공약 역시 그러하다""고 밝혔다. 그는 ""우리는 한국과 일본 정부와 북한의 위협에 대응하기 위한 공조를 이어갈 것""이라며 ""우리는 북한을 향해 어떤 적대적 행위도 하지 않고 있으며, 남북 대화 및 (대북)관여를 이어갈 것""이라고 덧붙였다. 김 위원장은 앞서 지난 11~12일 전술미사일 생산공장과 전술미사일 발사대차 생산공장 등을 잇달아 방문, ""군대의 전쟁준비 완성에 실지 기여할 수 있는 현대적이며 성능높은 발사대차들을 더 많이 생산·장비해야 한다""고 말했다. 김 위원장은 지난 3~5일에도 대구경방사포탄생산공장 등 군수공장을 방문했고, 지난 9일 노동당 중앙군사위 확대회의에서는 ""현대화돼가는 군의 작전수요에 맞게 각종 무장장비들의 대량생산 투쟁을 본격적으로 내밀어야 한다""고 강조했다. ","{'쏠쏠정보': '0', '흥미진진': 1, '공감백배': 5, '분석탁월': '0', '후속강추': '0'}"
2023-08-16 04:46:00,세계,[뉴욕유가] 中 경제 지표 둔화에 하락," 윤영숙 연합인 뉴욕유가는 중국의 경제 지표 부진에 따른 중국의 경기 둔화 우려에 하락했다. 15일(현지시간) 뉴욕상업거래소에서 9월 인도 서부텍사스산원유(WTI) 가격은 전날보다 1.52달러(1.84%) 하락한 배럴당 80.99달러에 거래를 마쳤다. 유가는 이틀 연속 하락했다. 이는 종가는 이달 2일 이후 가장 낮은 수준이다. 최근 들어 중국의 경제 지표가 부진하게 나오면서 원유 수요에 대한 우려가 다시 커지고 있다. 이날 발표된 중국의 7월 소매판매는 지난해 같은 기간보다 2.5% 증가하고, 산업생산은 3.7% 늘어났다. 이는 월스트리트저널이 집계한 시장의 예상치인 4.8% 증가와 4.6% 증가를 크게 밑도는 것이다. 1~7월 중국의 누적 고정자산 투자도 지난해 같은 기간보다 3.4% 증가하는 데 그쳐 시장의 예상치인 3.8% 증가를 밑돌았다. 중국 인민은행이 지표 부진에 앞서 단기 정책금리인 7일물 역레포 금리와 1년 만기 중기 유동성지원창구(MLF) 금리를 각각 0.1%포인트와 0.15%포인트 인하했지만, 시장의 우려를 완화하는 데는 역부족이었다. ING의 워런 패터슨 전략가는 이날 지표는 ""(중국 경기둔화에 대한) 우려를 완화하는 데 도움이 되지 못할 것 같다""고 말했다. 오안다의 에드워드 모야 애널리스트는 ""원유 시장이 여전히 타이트하지만, 헤드라인 대다수는 수요 쪽이 약세로 돌아서고 있음을 보여준다""고 말했다. 바클레이즈는 이날 중국의 올해 성장률 전망치를 기존 4.9%에서 4.5%로 하향했다. 예상보다 주택시장의 부진이 빨라지고 있다는 이유에서다. 중국은 최근 대형부동산 개발업체 비구이위안(碧桂園·컨트리가든)이 촉발한 디폴트(채무불이행) 위기로 부동산 시장이 또다시 크게 흔들릴 수 있다는 우려가 커지고 있다. ","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': 1, '후속강추': '0'}"
2023-08-16 04:57:00,세계,"U.S. commitment to defense of S. Korea remains firm, supports inter-Korean dialogue: Pentagon","NK threat-US-S Korea U.S. commitment to defense of S. Korea remains firm, supports inter-Korean dialogue: Pentagon By Byun Duk-kun WASHINGTON, Aug. 15 (Yonhap) -- The United States remains committed to the defense of South Korea and will work with its allies to address threats posed by North Korea, a U.S. Department of Defense spokesperson said Friday. The spokesperson also reiterated that the U.S. holds no ""hostile"" intention toward Pyongyang. ""We have been very clear about the threat posed by North Korea, and we have been very clear in our defense to South Korea and Japan and our commitment to the region in order to ensure stability,"" defense department deputy spokesperson Sabrina Sigh told a daily press briefing. The remark comes after North Korean leader Kim Jong-un called for efforts to prepare for a possible war. ""We are going to continue to work with South Korea and Japan to address the threats posed by DPRK,"" Singh said when asked about Kim's remark, reportedly made at a recent meeting of the Central Military Commission of the ruling Workers' Party. DPRK stands for the Democratic People's Republic of Korea, North Korea's official name. The Pentagon spokesperson reaffirmed U.S. commitment to engaging with North Korea, while also expressing support for inter-Korean dialogue. ""We don't harbor any hostile or ill will towards the DPRK,"" she told the press briefing. ""But we do support inter-Korean dialogue and support engagement as we continue to work through with our partners,"" she added.  (END)","{'쏠쏠정보': '0', '흥미진진': '0', '공감백배': '0', '분석탁월': '0', '후속강추': '0'}"
